Float float_id at (latitude°N, longitude°E) on date at depth_mm depth recorded: Temperature temperature_c°C, Salinity salinity_psu PSU, Oxygen oxygen_ml_l mg/L, Nitrate chlorophyll_mg_m3 μM.
Float F095 at (59.7°N, -143.1°E) on 2023-10-15 at 100m depth recorded: Temperature 6.4°C, Salinity 33.9 PSU, Oxygen 5.4 mg/L, Nitrate 0.6 μM.
Float F096 at (-16.7°N, 31.5°E) on 2023-07-10 at 0m depth recorded: Temperature 26.4°C, Salinity 35.0 PSU, Oxygen 6.4 mg/L, Nitrate 2.2 μM.
Float F096 at (-16.7°N, 31.5°E) on 2023-07-10 at 10m depth recorded: Temperature 26.0°C, Salinity 35.1 PSU, Oxygen 6.2 mg/L, Nitrate 1.8 μM.
Float F096 at (-16.7°N, 31.5°E) on 2023-07-10 at 50m depth recorded: Temperature 22.6°C, Salinity 35.3 PSU, Oxygen 5.7 mg/L, Nitrate 0.9 μM.
Float F096 at (-16.7°N, 31.5°E) on 2023-07-10 at 100m depth recorded: Temperature 19.2°C, Salinity 35.6 PSU, Oxygen 4.7 mg/L, Nitrate 0.3 μM.
Float F096 at (-16.7°N, 31.5°E) on 2023-07-10 at 500m depth recorded: Temperature 9.9°C, Salinity 35.8 PSU, Oxygen 3.2 mg/L, Nitrate 0.05 μM.
Float F096 at (-16.7°N, 31.5°E) on 2023-07-10 at 1000m depth recorded: Temperature 4.8°C, Salinity 36.0 PSU, Oxygen 2.3 mg/L, Nitrate 0.01 μM.
Float F096 at (-16.7°N, 31.5°E) on 2023-09-10 at 0m depth recorded: Temperature 26.2°C, Salinity 34.9 PSU, Oxygen 6.5 mg/L, Nitrate 2.0 μM.
Float F096 at (-16.7°N, 31.5°E) on 2023-09-10 at 10m depth recorded: Temperature 25.8°C, Salinity 35.0 PSU, Oxygen 6.1 mg/L, Nitrate 1.7 μM.
Float F096 at (-16.7°N, 31.5°E) on 2023-09-10 at 50m depth recorded: Temperature 22.3°C, Salinity 35.2 PSU, Oxygen 5.6 mg/L, Nitrate 0.8 μM.
Float F096 at (-16.7°N, 31.5°E) on 2023-09-10 at 100m depth recorded: Temperature 19.0°C, Salinity 35.5 PSU, Oxygen 4.6 mg/L, Nitrate 0.3 μM.
Float F097 at (6.9°N, -124.4°E) on 2023-07-17 at 0m depth recorded: Temperature 29.7°C, Salinity 35.3 PSU, Oxygen 6.9 mg/L, Nitrate 3.0 μM.
Float F097 at (6.9°N, -124.4°E) on 2023-07-17 at 10m depth recorded: Temperature 29.3°C, Salinity 35.4 PSU, Oxygen 6.7 mg/L, Nitrate 2.6 μM.
Float F097 at (6.9°N, -124.4°E) on 2023-07-17 at 50m depth recorded: Temperature 27.1°C, Salinity 35.6 PSU, Oxygen 6.2 mg/L, Nitrate 1.3 μM.
Float F097 at (6.9°N, -124.4°E) on 2023-07-17 at 100m depth recorded: Temperature 24.4°C, Salinity 35.9 PSU, Oxygen 5.3 mg/L, Nitrate 0.6 μM.
Float F097 at (6.9°N, -124.4°E) on 2023-07-17 at 500m depth recorded: Temperature 12.8°C, Salinity 36.1 PSU, Oxygen 3.5 mg/L, Nitrate 0.08 μM.
Float F097 at (6.9°N, -124.4°E) on 2023-07-17 at 1000m depth recorded: Temperature 7.4°C, Salinity 36.3 PSU, Oxygen 2.6 mg/L, Nitrate 0.01 μM.
Float F097 at (6.9°N, -124.4°E) on 2023-09-17 at 0m depth recorded: Temperature 29.5°C, Salinity 35.3 PSU, Oxygen 7.0 mg/L, Nitrate 2.8 μM.
Float F097 at (6.9°N, -124.4°E) on 2023-09-17 at 10m depth recorded: Temperature 29.0°C, Salinity 35.4 PSU, Oxygen 6.8 mg/L, Nitrate 2.3 μM.
Float F097 at (6.9°N, -124.4°E) on 2023-09-17 at 50m depth recorded: Temperature 26.8°C, Salinity 35.6 PSU, Oxygen 6.1 mg/L, Nitrate 1.2 μM.
Float F097 at (6.9°N, -124.4°E) on 2023-09-17 at 100m depth recorded: Temperature 24.1°C, Salinity 35.8 PSU, Oxygen 5.1 mg/L, Nitrate 0.5 μM.
Float F098 at (-45.4°N, 170.2°E) on 2023-08-02 at 0m depth recorded: Temperature 9.7°C, Salinity 33.3 PSU, Oxygen 7.1 mg/L, Nitrate 2.5 μM.
Float F098 at (-45.4°N, 170.2°E) on 2023-08-02 at 10m depth recorded: Temperature 9.4°C, Salinity 33.4 PSU, Oxygen 6.9 mg/L, Nitrate 2.2 μM.
Float F098 at (-45.4°N, 170.2°E) on 2023-08-02 at 50m depth recorded: Temperature 8.7°C, Salinity 33.7 PSU, Oxygen 6.5 mg/L, Nitrate 1.3 μM.
Float F098 at (-45.4°N, 170.2°E) on 2023-08-02 at 100m depth recorded: Temperature 7.4°C, Salinity 34.0 PSU, Oxygen 5.7 mg/L, Nitrate 0.6 μM.
Float F098 at (-45.4°N, 170.2°E) on 2023-08-02 at 500m depth recorded: Temperature 4.4°C, Salinity 35.3 PSU, Oxygen 3.5 mg/L, Nitrate 0.10 μM.
Float F098 at (-45.4°N, 170.2°E) on 2023-08-02 at 1000m depth recorded: Temperature 2.7°C, Salinity 35.7 PSU, Oxygen 2.6 mg/L, Nitrate 0.01 μM.
Float F098 at (-45.4°N, 170.2°E) on 2023-10-02 at 0m depth recorded: Temperature 9.4°C, Salinity 33.2 PSU, Oxygen 7.0 mg/L, Nitrate 2.3 μM.
Float F098 at (-45.4°N, 170.2°E) on 2023-10-02 at 10m depth recorded: Temperature 9.1°C, Salinity 33.3 PSU, Oxygen 6.9 mg/L, Nitrate 2.0 μM.
Float F098 at (-45.4°N, 170.2°E) on 2023-10-02 at 50m depth recorded: Temperature 8.3°C, Salinity 33.6 PSU, Oxygen 6.4 mg/L, Nitrate 1.1 μM.
Float F098 at (-45.4°N, 170.2°E) on 2023-10-02 at 100m depth recorded: Temperature 7.1°C, Salinity 33.9 PSU, Oxygen 5.5 mg/L, Nitrate 0.5 μM.
Float F099 at (22.4°N, -72.3°E) on 2023-07-27 at 0m depth recorded: Temperature 28.3°C, Salinity 35.2 PSU, Oxygen 6.7 mg/L, Nitrate 2.6 μM.
Float F099 at (22.4°N, -72.3°E) on 2023-07-27 at 10m depth recorded: Temperature 27.9°C, Salinity 35.3 PSU, Oxygen 6.5 mg/L, Nitrate 2.1 μM.
Float F099 at (22.4°N, -72.3°E) on 2023-07-27 at 50m depth recorded: Temperature 25.4°C, Salinity 35.5 PSU, Oxygen 6.0 mg/L, Nitrate 0.8 μM.
Float F099 at (22.4°N, -72.3°E) on 2023-07-27 at 100m depth recorded: Temperature 22.7°C, Salinity 35.7 PSU, Oxygen 5.1 mg/L, Nitrate 0.4 μM.
Float F099 at (22.4°N, -72.3°E) on 2023-07-27 at 500m depth recorded: Temperature 10.9°C, Salinity 35.9 PSU, Oxygen 3.2 mg/L, Nitrate 0.05 μM.
Float F099 at (22.4°N, -72.3°E) on 2023-07-27 at 1000m depth recorded: Temperature 5.8°C, Salinity 36.1 PSU, Oxygen 2.4 mg/L, Nitrate 0.01 μM.
Float F099 at (22.4°N, -72.3°E) on 2023-09-27 at 0m depth recorded: Temperature 28.1°C, Salinity 35.2 PSU, Oxygen 6.6 mg/L, Nitrate 2.4 μM.
Float F099 at (22.4°N, -72.3°E) on 2023-09-27 at 10m depth recorded: Temperature 27.7°C, Salinity 35.3 PSU, Oxygen 6.4 mg/L, Nitrate 2.0 μM.
Float F099 at (22.4°N, -72.3°E) on 2023-09-27 at 50m depth recorded: Temperature 25.0°C, Salinity 35.5 PSU, Oxygen 5.8 mg/L, Nitrate 0.7 μM.
Float F099 at (22.4°N, -72.3°E) on 2023-09-27 at 100m depth recorded: Temperature 22.3°C, Salinity 35.7 PSU, Oxygen 4.9 mg/L, Nitrate 0.3 μM.
Float F100 at (-58.9°N, 60.8°E) on 2023-08-15 at 0m depth recorded: Temperature 7.4°C, Salinity 33.1 PSU, Oxygen 7.0 mg/L, Nitrate 2.2 μM.
Float F100 at (-58.9°N, 60.8°E) on 2023-08-15 at 10m depth recorded: Temperature 7.2°C, Salinity 33.2 PSU, Oxygen 6.9 mg/L, Nitrate 1.8 μM.
Float F100 at (-58.9°N, 60.8°E) on 2023-08-15 at 50m depth recorded: Temperature 6.6°C, Salinity 33.5 PSU, Oxygen 6.4 mg/L, Nitrate 0.9 μM.
Float F100 at (-58.9°N, 60.8°E) on 2023-08-15 at 100m depth recorded: Temperature 5.4°C, Salinity 33.8 PSU, Oxygen 5.5 mg/L, Nitrate 0.5 μM.
Float F100 at (-58.9°N, 60.8°E) on 2023-08-15 at 500m depth recorded: Temperature 3.0°C, Salinity 35.0 PSU, Oxygen 3.3 mg/L, Nitrate 0.07 μM.
Float F100 at (-58.9°N, 60.8°E) on 2023-08-15 at 1000m depth recorded: Temperature 1.6°C, Salinity 35.4 PSU, Oxygen 2.4 mg/L, Nitrate 0.01 μM.
Float F100 at (-58.9°N, 60.8°E) on 2023-10-15 at 0m depth recorded: Temperature 7.3°C, Salinity 33.1 PSU, Oxygen 7.1 mg/L, Nitrate 2.1 μM.
Float F100 at (-58.9°N, 60.8°E) on 2023-10-15 at 10m depth recorded: Temperature 7.1°C, Salinity 33.2 PSU, Oxygen 6.9 mg/L, Nitrate 1.7 μM.
Float F100 at (-58.9°N, 60.8°E) on 2023-10-15 at 50m depth recorded: Temperature 6.3°C, Salinity 33.5 PSU, Oxygen 6.3 mg/L, Nitrate 0.9 μM.
Float F100 at (-58.9°N, 60.8°E) on 2023-10-15 at 100m depth recorded: Temperature 5.2°C, Salinity 33.9 PSU, Oxygen 5.4 mg/L, Nitrate 0.5 μM.
